title,season,episode,color_list,subject,air_date,month
Fisherman's Trail,28,1,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'PATH', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","May 25, 1993",May
A Warm Winter,28,2,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['BARN', 'CONIFER', 'DECIDUOUS', 'HILLS', 'SNOW', 'STRUCTURE', 'SUN', 'TREE', 'TREES', 'WINTER']","June 1, 1993",June
Under Pastel Skies,28,3,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","June 8, 1993",June
Golden Rays of Sunshine,28,4,"['Alizarin Crimson', 'Black Gesso', 'Indian Yellow', 'Liquid Clear', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White']","['BUSHES', 'DECIDUOUS', 'SUN', 'TREE', 'TREES']","June 15, 1993",June
The Magic of Fall,28,5,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['DECIDUOUS', 'FENCE', 'GRASS', 'TREE']","June 22, 1993",June
Glacier Lake,28,6,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'GRASS', 'LAKE', 'MOUNTAIN', 'ROCKS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","June 29, 1993",June
The Old Weathered Barn,28,7,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['BARN', 'DECIDUOUS', 'GRASS', 'PATH', 'TREE', 'TREES']","July 6, 1993",July
Deep Forest Falls,28,8,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'RIVER', 'TREE', 'TREES', 'WATERFALL']","July 13, 1993",July
Winter's Grace,28,9,"['Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White']","['CONIFER', 'FOG', 'MOUNTAIN', 'MOUNTAINS', 'SNOW', 'TREE', 'TREES', 'WINTER']","July 20, 1993",July
Splendor of Autumn,28,10,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'FOG', 'GRASS', 'LAKE', 'SUN', 'TREE', 'TREES']","July 27, 1993",July
Tranquil Seas,28,11,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['BEACH', 'CLOUDS', 'CUMULUS', 'OCEAN', 'SUN', 'WAVES']","August 3, 1993",August
Mountain Serenity,28,12,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'GRASS', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","August 10, 1993",August
Home Before Nightfall,28,13,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['CABIN', 'CLOUDS', 'DECIDUOUS', 'GRASS', 'NIGHT', 'STRUCTURE', 'TREE', 'TREES']","August 17, 1993",August
Island in the Wilderness,29,1,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'LAKE', 'TREE', 'TREES']","August 24, 1993",August
Autumn Oval,29,2,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'FRAMED', 'LAKE', 'MOUNTAINS', 'OVAL_FRAME', 'TREE', 'TREES']","August 31, 1993",August
Seasonal Progression,29,3,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'FRAMED', 'GRASS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOW', 'SNOWY_MOUNTAIN', 'SPLIT_FRAME', 'TREE', 'TREES', 'WINTER']","September 7, 1993",September
Light at the Summit,29,4,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'PATH', 'SUN', 'TREE', 'TREES']","September 14, 1993",September
Countryside Barn,29,5,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BARN', 'DECIDUOUS', 'GRASS', 'PATH', 'STRUCTURE', 'TREE']","September 21, 1993",September
Mountain Lake Falls,29,6,"['Alizarin Crimson', 'Cadmium Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['CLOUDS', 'CONIFER', 'CUMULUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'SNOWY_MOUNTAIN', 'TREE', 'TREES', 'WATERFALL']","September 28, 1993",September
Cypress Creek,29,7,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'RIVER', 'TREE', 'TREES']","October 5, 1993",October
Trapper's Cabin,29,8,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CABIN', 'CONIFER', 'DECIDUOUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'STRUCTURE', 'TREE', 'TREES']","October 12, 1993",October
Storm on the Horizon,29,9,"['Alizarin Crimson', 'Bright Red', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BEACH', 'CLOUDS', 'GRASS', 'OCEAN', 'PALM_TREES', 'ROCKS', 'WAVES']","October 19, 1993",October
Pot O' Posies,29,10,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Midnight Black', 'Prussian Blue', 'Sap Green']","['FLOWERS', 'GUEST']","October 26, 1993",October
A Perfect Winter Day,29,11,"['Alizarin Crimson', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['BUSHES', 'CABIN', 'CLOUDS', 'CONIFER', 'MOUNTAIN', 'SNOW', 'SNOWY_MOUNTAIN', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']","November 2, 1993",November
Aurora's Dance,29,12,"['Alizarin Crimson', 'Dark Sienna', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['AURORA_BOREALIS', 'CABIN', 'CONIFER', 'LAKE', 'NIGHT', 'SNOW', 'TREE', 'TREES', 'WINTER']","November 9, 1993",November
Woodman's Retreat,29,13,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","November 16, 1993",November
Babbling Brook,30,1,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'GRASS', 'RIVER', 'TREE', 'WATERFALL']","November 23, 1993",November
Woodgrain View,30,2,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'FRAMED', 'GRASS', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE', 'WOOD_FRAMED']","November 30, 1993",November
Winter's Peace,30,3,"['Alizarin Crimson', 'Bright Red', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CLOUDS', 'CONIFER', 'LAKE', 'STRUCTURE', 'TREE', 'TREES']","December 7, 1993",December
Wilderness Trail,30,4,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'PATH', 'TREE', 'TREES']","December 14, 1993",December
A Copper Winter,30,5,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'DECIDUOUS', 'LAKE', 'TREE', 'TREES']","December 21, 1993",December
Misty Foothills,30,6,"['Alizarin Crimson', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'CUMULUS', 'HILLS', 'LAKE', 'MOUNTAIN', 'TREE', 'TREES']","December 28, 1993",December
Through the Window,30,7,"['Alizarin Crimson', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CONIFER', 'DECIDUOUS', 'FRAMED', 'SNOW', 'TREE', 'TREES', 'WINDOW_FRAME', 'WINTER']","January 4, 1994",January
Home in the Valley,30,8,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CLOUDS', 'CONIFER', 'CUMULUS', 'GRASS', 'LAKE', 'STRUCTURE', 'TREE', 'TREES']","January 11, 1994",January
Mountains of Grace,30,9,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CIRRUS', 'CLOUDS', 'CONIFER', 'DECIDUOUS', 'GUEST', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'SNOWY_MOUNTAIN', 'STEVE_ROSS', 'TREE', 'TREES']","January 18, 1994",January
Seaside Harmony,30,10,"['Alizarin Crimson', 'Black Gesso', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['BEACH', 'CLOUDS', 'OCEAN', 'ROCKS', 'WAVES']","January 25, 1994",January
A Cold Spring Day,30,11,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","February 1, 1994",February
Evening's Glow,30,12,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CONIFER', 'DECIDUOUS', 'GRASS', 'PATH', 'SUN', 'TREE', 'TREES']","February 8, 1994",February
Blue Ridge Falls,30,13,"['Alizarin Crimson', 'Black Gesso', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'MOUNTAIN', 'RIVER', 'ROCKS', 'TREE', 'TREES', 'WATERFALL']","February 15, 1994",February
Reflections of Calm,31,1,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']","February 22, 1994",February
Before the Snowfall,31,2,"['Alizarin Crimson', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['BUSHES', 'CABIN', 'CLOUDS', 'CONIFER', 'RIVER', 'STRUCTURE', 'TREE', 'TREES']","March 1, 1994",March
Winding Stream,31,3,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Black', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'GRASS', 'RIVER', 'ROCKS', 'TREE', 'TREES']","March 8, 1994",March
Tranquility Cove,31,4,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'LAKE', 'ROCKS', 'TREE', 'TREES']","March 15, 1994",March
Cabin in the Hollow,31,5,"['Alizarin Crimson', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CABIN', 'CONIFER', 'FRAMED', 'OVAL_FRAME', 'RIVER', 'SNOW', 'TREE', 'TREES', 'WINTER']","March 22, 1994",March
View from Clear Creek,31,6,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'TREE', 'TREES']","March 29, 1994",March
Bridge to Autumn,31,7,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BRIDGE', 'DECIDUOUS', 'LAKE', 'PATH', 'STRUCTURE', 'TREE', 'TREES']","April 5, 1994",April
Trail's End,31,8,"['Alizarin Crimson', 'Black Gesso', 'Dark Sienna', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'DECIDUOUS', 'PATH', 'TREE', 'TREES']","April 12, 1994",April
Evergreen Valley,31,9,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Black', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'ROCKS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","April 19, 1994",April
Balmy Beach,31,10,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BEACH', 'FRAMED', 'OCEAN', 'PALM_TREES', 'ROCKS', 'SEASHELL_FRAME', 'WAVES']","April 26, 1994",April
Lake at the Ridge,31,11,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'DECIDUOUS', 'GRASS', 'GUEST', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'STEVE_ROSS', 'TREE', 'TREES']","May 3, 1994",May
In the Midst of Winter,31,12,"['Alizarin Crimson', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['BARN', 'CONIFER', 'DECIDUOUS', 'FOG', 'PATH', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']","May 10, 1994",May
Wilderness Day,31,13,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'MOUNTAIN', 'TREE', 'TREES']","May 17, 1994",May
